Case Description,Case No.,Script Driving,Script and LLM Driving,Additional,,,,,,,,,,,,,,,
Access website by URL https://www.ics.uci.edu,b11a11,,,模拟器无法安装,"    ""b11"": ""Access website by URL"",",,,,,,,,,,,,,,
,b11a12,,,模拟器无法安装,"    ""b12"": ""Back button"",",,,,,,,,,,,,,,
,b11a13,Y,Y,,"    ""b21"": ""Add task"",",,,,,,,,,,,,,,
,b11a14,Stuck by popup tips,Y,,"    ""b22"": ""Remove task"",",,,,,,,,,,,,,,
,b11a15,Y,Y,,"    ""b31"": ""Registration"",",,,,,,,,,,,,,,
Back button,b12a11,,,,"    ""b32"": ""Login with valid credentials"",",,,,,,,,,,,,,,
"Access website by URL ""https://www.ics.uci.edu"", then access ""https://uci.edu"", the click BACK key",b12a12,,,,"    ""b41"": ""Search email by keywords"",",,,,,,,,,,,,,,
,b12a13,Y,Y,第二个Oracle为啥没匹配成功？排查,"    ""b42"": ""Send email with valid data"",",,,,,,,,,,,,,,
,b12a14,Stuck by popup tips,Stuck by popup tips,,"    ""b51"": ""Calculate total bill with tip"",",,,,,,,,,,,,,,
,b12a15,Y,Y,,"    ""b52"": ""Split bill""",,,,,,,,,,,,,,
Add task,b21a21,YR,Y,,,,,,,,,,,,,,,,
"Add task ""Sample Todo""",b21a22,YR,Y,,,,,,,,,,,,,,,,
,b21a23,YR,Y,,,,,,,,,,,,,,,,
,b21a24,YR,Y,,,,,,,,,,,,,,,,
,b21a25,YR,Y,,,,,,,,,,,,,,,,
Remove task,b22a21,YR,Y,,,,,,,,,,,,,,,,
"Add task ""Sample Todo"", then remove it",b22a22,YR,Y,,,,,,,,,,,,,,,,
,b22a23,YR,Y,"view添加""text""字段进行判断:""Delete To-Do Task""",,,,,,,,,,,,,,,
,b22a24,YR,Y,"      ""text"": ""Delete""",,,,,,,,,,,,,,,
,b22a25,YR,Y,,,,,,,,,,,,,,,,
Registration,b31a31,,,,,,,,,,,,,,,,,,
,b31a32,,,,,,,,,,,,,,,,,,
,b31a33,,,,,,,,,,,,,,,,,,
,b31a34,,,,,,,,,,,,,,,,,,
,b31a35,,,,,,,,,,,,,,,,,,
Login with valid credentials,b32a31,,,,,,,,,,,,,,,,,,
,b32a32,,,utg转换图有问题，输入密码和用户名的事件都记录了，但是在转换图中只有一个事件，应该有2个,,,,,,,,,,,,,,,
,b32a33,,,,,,,,,,,,,,,,,,
,b32a34,,,,,,,,,,,,,,,,,,
,b32a35,,,,,,,,,,,,,,,,,,
Search email by keywords,b41a41,,,,,,,,,,,,,,,,,,
,b41a42,,,,,,,,,,,,,,,,,,
,b41a43,,,,,,,,,,,,,,,,,,
,b41a44,,,,,,,,,,,,,,,,,,
,b41a45,,,,,,,,,,,,,,,,,,
Send email with valid data,b42a41,,,,,,,,,,,,,,,,,,
,b42a42,,,,,,,,,,,,,,,,,,
,b42a43,,,,,,,,,,,,,,,,,,
,b42a44,,,,,,,,,,,,,,,,,,
,b42a45,,,,,,,,,,,,,,,,,,
Calculate total bill with tip,b51a51,YR,Y,,,,,,,,,,,,,,,,
"Task  is ""Calculate total bill with tip"", including steps: input 56.6 into ""Bill Total"", input 15 into ""Tip"", assert that value of ""Total with Tip"" is 65.09(a55)",b51a52,,Y,连续输入，但utg没问题，对比b32a32,,,,,,,,,,,,,,,
,b51a53,YR,Y,,,,,,,,,,,,,,,,
,b51a54,YR,Y,,,,,,,,,,,,,,,,
,b51a55,YR,Y,,,,,,,,,,,,,,,,
Split bill,b52a51,YR,Y,,,,,,,,,,,,,,,,
"Task  is ""Split bill"", including steps: input 56.6 into ""Bill Amount"", input 15 into ""Tip Percent"",  input 4 into ""# Of People"", assert that value of ""Each Person Pays"" is 16.27(a51)",b52a52,,Y,,,,,,,,,,,,,,,,
,b52a53,YR,Y,,,,,,,,,,,,,,,,
,b52a54,YR,Y,,,,,,,,,,,,,,,,
,b52a55,YR,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
